full_journey,nb_parcours
AD_EXCHANGE_appnexus-DIRECT_ACCESS-email_auto,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,2
AD_EXCHANGE_appnexus-SEO-REFERRAL-AFFILIATION,2
email_auto-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus,2
DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,2
email_auto-SEO-email_auto-DIRECT_ACCESS-email_auto-SEO-email_auto-SEO,2
DIRECT_ACCESS-SEO-AFFILIATION-DIRECT_ACCESS,2
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION-REFERRAL,2
REFERRAL-AFFILIATION-email_tactique-AFFILIATION-SEO-AFFILIATION-SEO-AFFILIATION,2
SEO-email_auto-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-SEO,2
SEO-AD_EXCHANGE_appnexus-REFERRAL-SEO-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
email_auto-AD_EXCHANGE_appnexus-email_auto-DIRECT_ACCESS,2
