full_journey,nb_parcours
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,4
email_auto-email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,4
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,4
SEO-SEO-SEO-DIRECT_ACCESS-DIRECT_ACCESS,4
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-SEO-DIRECT_ACCESS-DIRECT_ACCESS,4
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,4
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,4
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,4
SEO-SEO-AD_EXCHANGE_appnexus,4
SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M,4
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,4
DIRECT_ACCESS-email_auto-email_auto,4
DIRECT_ACCESS-email_auto,4
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,4
email_auto-REFERRAL-REFERRAL-REFERRAL-REFERRAL,4
SEO-SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,4
DIRECT_ACCESS-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS-DIRECT_ACCESS,4
SEO-email_auto-SEO,4
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,4
SEO-AD_EXCHANGE_appnexus-SEO-SEO-SEO-SEO,4
